Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_match_ratio,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_match_ratio,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_match_ratio
AFFILE,5800110001.0,1297.0,0.119,,1.4666666666666666,,1/1,0.429,,5.6,,1/1,0.429,,5.6,,1/1
AFFILE,5800126701.0,28.0,2.061,,35.05,,1/1,2.338,,38.61666666666667,,1/1,2.338,,38.61666666666667,,1/1
AGOSTA,5800210001.0,1010.0,0.259,,5.0,,1/1,0.259,,5.0,,1/1,0.242,,4.783333333333333,,1/1
AGOSTA,5800210002.0,389.0,3.833,,19.966666666666665,,1/1,3.833,,19.966666666666665,,1/1,3.8099999999999996,,19.65,,1/1
AGOSTA,5800220002.0,142.0,1.8290000000000002,,11.716666666666667,,1/1,1.8290000000000002,,11.716666666666667,,1/1,1.806,,11.4,,1/1
AGOSTA,5800220003.0,47.0,3.192,,15.366666666666667,,1/1,3.192,,15.366666666666667,,1/1,3.169,,15.05,,1/1
ALBANO LAZIALE,5800310001.0,27443.0,5.3625,1.9482132070181641,34.24722222222222,6.389048065649935,6/6,5.0893999999999995,2.054835346201734,33.94,7.449828484229985,5/5,4.735666666666667,1.873793033750882,32.21666666666667,5.431876082697189,3/3
ALBANO LAZIALE,5800310002.0,9433.0,4.4816666666666665,3.7963778350773607,19.127777777777776,11.874438778161108,6/6,5.277199999999999,3.6409904833712488,21.226666666666667,12.100818383710894,5/5,4.862333333333334,4.452016434530912,17.999999999999996,18.062484140708147,3/3
ALBANO LAZIALE,5800320002.0,1096.0,5.088666666666667,2.846424681361983,39.12777777777778,17.6129171874466,6/6,5.1302,3.1842424844851247,37.13,19.003860718870317,5/5,5.640666666666666,2.542199900348777,41.68888888888888,15.650570927936474,3/3
ALBANO LAZIALE,5800320007.0,38.0,6.282166666666666,3.30937754973147,49.36388888888888,15.62765858863582,6/6,6.104799999999999,3.7912031995133155,46.71,17.639722377507972,5/5,6.859999999999999,3.370286041273055,48.766666666666666,16.58237853197718,3/3
ALBANO LAZIALE,5800320008.0,87.0,5.5655,1.9482132070181641,36.513888888888886,6.389048065649935,6/6,5.2924,2.054835346201734,36.20666666666667,7.449828484229984,5/5,4.938666666666666,1.8737930337508821,34.483333333333334,5.431876082697189,3/3
ALBANO LAZIALE,5800320014.0,134.0,6.040166666666667,3.901387825718775,48.175,11.511061105639993,6/6,6.7669999999999995,3.880156762297111,50.290000000000006,11.779617518785951,5/5,6.684333333333333,4.43785954411959,49.04444444444444,17.35967816308603,3/3
ALBANO LAZIALE,5800320010.0,81.0,7.266333333333334,4.573550291258058,62.44722222222223,15.67454205131743,6/6,8.0964,4.578990642052022,65.18,16.07182403393522,5/5,8.19,5.073046520583071,66.03333333333333,22.150175569908647,3/3
ALBANO LAZIALE,5800320011.0,51.0,1.684,0.12609916732476867,42.38055555555555,13.19580074900373,6/6,1.3118,0.24395183950935873,37.51,11.964342857006397,5/5,1.0263333333333333,,45.672222222222224,18.61108043115216,3/3
ALLUMIERE,5800410001.0,3213.0,0.632,,8.666666666666666,,1/1,0.793,,11.816666666666666,,1/1,0.441,,7.0,,1/1
ALLUMIERE,5800410002.0,429.0,2.992,,15.75,,1/1,3.304,,19.88333333333333,,1/1,3.681,,27.11666666666667,,1/1
ANGUILLARA SABAZIA,5800510001.0,14440.0,1.9756666666666665,0.45959801276042667,28.327777777777776,7.679488071286853,3/3,1.9833333333333334,0.32295871769211204,28.327777777777776,5.847704519565617,3/3,1.806,,26.416666666666668,,1/1
ANGUILLARA SABAZIA,5800510002.0,206.0,5.638,1.7470077275158231,23.23333333333333,4.019259191000805,3/3,5.602666666666666,1.7972938917531918,20.977777777777778,1.6791477115004028,3/3,4.673,,21.116666666666667,,1/1
ANGUILLARA SABAZIA,5800520001.0,257.0,6.400666666666666,4.464866440704954,54.47777777777778,5.726578708417769,3/3,6.383666666666667,4.5008946147775255,52.48333333333333,3.43199812224761,3/3,3.887,,51.61666666666667,,1/1
ANGUILLARA SABAZIA,5800520007.0,172.0,12.998666666666667,9.085395386736526,99.23333333333333,55.98274535763477,3/3,12.985000000000001,8.996272394719936,98.92222222222223,54.824219945135496,3/3,18.287,,131.68333333333334,,1/1
ANGUILLARA SABAZIA,5800520008.0,175.0,4.588,2.2952771074534772,39.15,11.007926437092703,3/3,4.574333333333334,2.204035919247537,38.84444444444445,9.747711032358849,3/3,5.501,,42.9,,1/1
ANGUILLARA SABAZIA,5800520009.0,58.0,4.03,2.2952771074534772,31.866666666666664,11.007926437092703,3/3,4.016333333333334,2.204035919247537,31.555555555555554,9.757295466204496,3/3,4.032,,56.733333333333334,,1/1
ANGUILLARA SABAZIA,5800520005.0,77.0,39.675,1.7470077275158256,131.29999999999998,4.019259191000813,3/3,39.63966666666666,1.7972938917531955,129.04444444444442,1.6791477115003925,3/3,38.71,,129.18333333333334,,1/1
ANGUILLARA SABAZIA,5800520006.0,44.0,18.06133333333333,0.1146312929933761,106.27777777777777,19.462316389866324,3/3,17.930666666666667,0.2101769096102936,104.36666666666666,21.05885271750999,3/3,18.16,,117.63333333333334,,1/1
ANGUILLARA SABAZIA,5800520004.0,1732.0,16.263666666666666,1.8999169280085202,105.42777777777779,4.421611487698592,3/3,16.089000000000002,2.0888554282190044,102.90555555555554,6.9907544763171465,3/3,17.403,,108.05,,1/1
ANGUILLARA SABAZIA,5800520003.0,343.0,18.30666666666667,1.2353543351335807,107.51666666666667,43.196993851167214,3/3,18.176,1.347538867714026,105.60555555555554,44.80719291628339,3/3,19.062,,132.58333333333334,,1/1
