Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
AFFILE,5800110001,1297.0,9.258,,21.7,,1/1
AFFILE,5800126602,20.0,5.57,,16.933333333333334,,1/1
AFFILE,5800126701,28.0,11.222,,55.0,,1/1
AGOSTA,5800210001,1010.0,9.827,,32.9,,1/1
AGOSTA,5800210002,389.0,7.211,,29.733333333333334,,1/1
AGOSTA,5800220002,142.0,8.258,,30.51666666666667,,1/1
AGOSTA,5800220003,47.0,7.268,,20.366666666666667,,1/1
ALBANO LAZIALE,5800310001,27443.0,3.77,0.8061017305526639,28.208333333333332,14.436763449225344,2/2
ALBANO LAZIALE,5800310002,9433.0,18.506,0.8061017305526645,61.574999999999996,14.436763449225344,2/2
ALBANO LAZIALE,5800320002,1096.0,8.056000000000001,0.7947880220536798,55.766666666666666,14.283556979968257,2/2
ALBANO LAZIALE,5800320007,38.0,8.825999999999999,0.7947880220536798,66.98333333333333,14.283556979968257,2/2
ALBANO LAZIALE,5800320008,87.0,3.9729999999999994,0.8061017305526643,30.474999999999998,14.436763449225344,2/2
ALBANO LAZIALE,5800320014,134.0,12.003,0.7947880220536785,72.33333333333334,14.283556979968262,2/2
ALBANO LAZIALE,5800320010,81.0,8.5415,0.801151983084359,62.975,14.43676344922535,2/2
ALBANO LAZIALE,5800320011,51.0,7.421499999999999,0.7261986642785838,25.0,2.8284271247461903,2/2
ALLUMIERE,5800410001,3213.0,14.098,,30.633333333333333,,1/1
ALLUMIERE,5800410002,429.0,16.022,,31.566666666666666,,1/1
ANGUILLARA SABAZIA,5800510001,14440.0,22.32,,57.7,,1/1
ANGUILLARA SABAZIA,5800510002,206.0,9.81,,30.366666666666667,,1/1
ANGUILLARA SABAZIA,5800520001,257.0,11.023,,60.03333333333333,,1/1
ANGUILLARA SABAZIA,5800520007,172.0,22.481,,126.14999999999999,,1/1
ANGUILLARA SABAZIA,5800520008,175.0,18.393,,64.8,,1/1
ANGUILLARA SABAZIA,5800520009,58.0,17.835,,57.483333333333334,,1/1
ANGUILLARA SABAZIA,5800520005,77.0,20.462,,157.51666666666668,,1/1
ANGUILLARA SABAZIA,5800520006,44.0,12.957,,61.08333333333334,,1/1
ANGUILLARA SABAZIA,5800520004,1732.0,29.709,,100.46666666666667,,1/1
ANGUILLARA SABAZIA,5800520003,343.0,12.77,,39.36666666666667,,1/1
ANGUILLARA SABAZIA,5800526702,26.0,15.763000000000002,,63.333333333333336,,1/1
ANTICOLI CORRADO,5800610001,794.0,19.666,,63.3,,1/1
ARCINAZZO ROMANO,5800810001,311.0,18.978,,31.883333333333336,,1/1
ARCINAZZO ROMANO,5800810002,868.0,11.671,,30.149999999999995,,1/1
ARICCIA,5800910001,17796.0,1.9499999999999997,,33.28333333333333,,1/1
ARICCIA,5800926702,41.0,1.834,,31.48333333333333,,1/1
ARICCIA,5800926701,17.0,1.81,,15.416666666666666,,1/1
ARSOLI,5801010001,1260.0,20.811,,43.95,,1/1
ARTENA,5801110001,9909.0,8.937,,20.116666666666667,,1/1
ARTENA,5801110004,386.0,5.92,,11.766666666666667,,1/1
ARTENA,5801110002,907.0,23.317,,63.88333333333333,,1/1
ARTENA,5801110005,96.0,12.385,,28.566666666666666,,1/1
ARTENA,5801110003,1605.0,13.849,,26.766666666666666,,1/1
ARTENA,5801120204,2.0,14.955,,32.15,,1/1
BELLEGRA,5801210001,1797.0,51.957,,145.1,,1/1
BELLEGRA,5801220004,154.0,59.173,,130.98333333333332,,1/1
BELLEGRA,5801220003,81.0,22.304,,75.9,,1/1
BELLEGRA,5801226602,26.0,60.61,,134.05,,1/1
BRACCIANO,5801310006,886.0,6.626,,30.883333333333333,,1/1
BRACCIANO,5801310001,12279.0,1.773,,7.65,,1/1
BRACCIANO,5801310004,373.0,3.033,,43.71666666666667,,1/1
BRACCIANO,5801310002,240.0,7.42,,15.0,,1/1
BRACCIANO,5801310005,1465.0,1.991,,30.783333333333335,,1/1
BRACCIANO,5801310003,280.0,7.543,,40.13333333333333,,1/1
BRACCIANO,5801320005,143.0,2.054,,32.03333333333333,,1/1
BRACCIANO,5801320006,762.0,3.7440000000000007,,35.53333333333333,,1/1
BRACCIANO,5801320003,52.0,3.764,,52.81666666666667,,1/1
BRACCIANO,5801326704,41.0,11.291,,30.0,,1/1
CAMERATA NUOVA,5801410001,382.0,41.004,,129.45,,1/1
CAMERATA NUOVA,5801426602,15.0,40.289,,130.48333333333332,,1/1
CAMPAGNANO DI ROMA,5801510001,7052.0,71.872,,153.16666666666666,,1/1
CAMPAGNANO DI ROMA,5801520001,253.0,65.832,,135.41666666666666,,1/1
CAMPAGNANO DI ROMA,5801520002,1186.0,29.612999999999996,,112.35000000000001,,1/1
CAMPAGNANO DI ROMA,5801520003,132.0,28.275,,95.68333333333334,,1/1
CANALE MONTERANO,5801610001,2123.0,10.638,,69.61666666666666,,1/1
CANALE MONTERANO,5801610002,918.0,11.995999999999999,,69.61666666666666,,1/1
