Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min
POZZAGLIA SABINA,5705810001,48.0,48.49699999999999,,56.416666666666664,
POZZAGLIA SABINA,5705810002,39.0,46.738,,53.833333333333336,
POZZAGLIA SABINA,5705820001,79.0,44.175,,50.45,
POZZAGLIA SABINA,5705810003,136.0,45.779,,52.083333333333336,
RIVODUTRI,5706010001,78.0,18.414,,23.066666666666666,
RIVODUTRI,5706010004,194.0,16.442,,20.4,
RIVODUTRI,5706010002,358.0,18.539,,22.166666666666668,
RIVODUTRI,5706020001,116.0,15.852,,19.65,
RIVODUTRI,5706020002,31.0,20.504,,30.666666666666668,
RIVODUTRI,5706010003,158.0,17.024,,23.516666666666666,
RIVODUTRI,5706026603,27.0,17.022,,21.15,
RIVODUTRI,5706026604,28.0,18.568,,22.05,
RIVODUTRI,5706026606,22.0,14.368,,17.316666666666666,
RIVODUTRI,5706026610,31.0,19.277,,23.7,
ROCCANTICA,5706110001,257.0,40.975,,50.81666666666667,
ROCCANTICA,5706120001,22.0,40.23,,49.58333333333334,
ROCCA SINIBALDA,5706210001,65.0,24.606,,29.983333333333334,
ROCCA SINIBALDA,5706210004,36.0,37.367,,44.96666666666667,
ROCCA SINIBALDA,5706210002,108.0,27.372,,28.95,
ROCCA SINIBALDA,5706220002,32.0,21.384,,25.466666666666665,
ROCCA SINIBALDA,5706210003,177.0,23.598,,23.8,
ROCCA SINIBALDA,5706220004,27.0,25.706,,31.716666666666665,
ROCCA SINIBALDA,5706220003,49.0,23.558000000000003,,23.133333333333333,
SALISANO,5706310001,296.0,37.522,,44.31666666666667,
SALISANO,5706326605,25.0,40.413,,48.25,
SCANDRIGLIA,5706410001,504.0,35.429,,39.083333333333336,
SCANDRIGLIA,5706410002,1394.0,39.459,,43.75,
SCANDRIGLIA,5706410003,299.0,30.756,,32.63333333333333,
SCANDRIGLIA,5706420004,145.0,38.006,,43.06666666666667,
SCANDRIGLIA,5706420003,317.0,37.642,,41.016666666666666,
SELCI,5706510001,700.0,21.824,,27.68333333333333,
SELCI,5706520001,66.0,20.264,,24.633333333333333,
SELCI,5706520002,33.0,22.068,,28.366666666666667,
STIMIGLIANO,5706610001,1085.0,17.226,,23.233333333333334,
STIMIGLIANO,5706610002,918.0,26.135,,23.45,
