Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min
ACCUMOLI,5700110001,130.0,0.377,,0.85,
ACCUMOLI,5700110002,124.0,6.399,,8.9,
ACCUMOLI,5700110003,12.0,9.035,,15.233333333333333,
ACCUMOLI,5700124913,1.0,12.154,,20.316666666666666,
ACCUMOLI,5700124914,4.0,14.218,,23.966666666666665,
ACCUMOLI,5700126606,23.0,11.999,,14.083333333333334,
ACCUMOLI,5700120011,24.0,4.502,,8.316666666666666,
ACCUMOLI,5700120003,39.0,3.224,,6.483333333333333,
ACCUMOLI,5700120207,5.0,5.986,,10.983333333333333,
ACCUMOLI,5700126601,20.0,11.812,,20.083333333333332,
ACCUMOLI,5700126612,12.0,3.7679999999999993,,6.433333333333334,
ACCUMOLI,5700126604,19.0,5.195,,10.1,
ACCUMOLI,5700126605,15.0,2.701,,4.883333333333334,
ACCUMOLI,5700124902,29.0,12.291,,19.933333333333334,
ACCUMOLI,5700126608,7.0,12.655,,24.416666666666668,
ACCUMOLI,5700126609,13.0,13.212,,20.766666666666666,
ACCUMOLI,5700127615,1.0,3.713,,6.166666666666667,
ACCUMOLI,5700126610,12.0,6.261,,10.683333333333332,
ACQUAFONDATA,6000110001,185.0,4.807,,9.05,
ACQUAFONDATA,6000110002,64.0,0.494,,1.7,
ACQUAFONDATA,6000126601,6.0,1.081,,2.5166666666666666,
ACQUAPENDENTE,5600110001,3833.0,0.6266666666666667,0.08977935917199084,1.7833333333333332,0.4055175020198813
ACQUAPENDENTE,5600110002,272.0,11.773,0.34326520359628665,14.205555555555556,1.8300222625644433
ACQUAPENDENTE,5600120001,277.0,1.4756666666666667,0.0811192537769754,2.5388888888888888,0.39592835116881836
ACQUAPENDENTE,5600110003,120.0,14.115999999999998,0.5070118341814129,19.344444444444445,1.6528034545157684
ACUTO,6000210001,1582.0,0.724,,2.816666666666667,
ACUTO,6000220003,56.0,3.994,,7.766666666666667,
ACUTO,6000220001,128.0,1.412,,3.033333333333333,
ACUTO,6000226602,17.0,5.311,,9.2,
ACUTO,6000226604,7.0,3.815,,6.5,
AFFILE,5800110001,1297.0,0.158,,0.8000000000000002,
AFFILE,5800126602,20.0,3.322,,5.416666666666667,
AFFILE,5800126701,28.0,8.367,,12.55,
AGOSTA,5800210001,1010.0,1.5095,0.4716402230514272,4.475,1.4259986753928708
AGOSTA,5800210002,389.0,4.243,0.47093311627024026,6.791666666666666,1.4259986753928708
AGOSTA,5800220002,142.0,2.334,0.4709331162702406,5.008333333333334,1.4259986753928708
AGOSTA,5800220003,47.0,3.4365,0.47164022305142705,6.733333333333334,1.4142135623730951
ALATRI,6000310005,1252.0,1.067,0.25492547930718895,2.261111111111111,0.5167562646325994
ALATRI,6000310001,9780.0,1.212,0.4315309954105266,2.938888888888889,1.0678812529351616
ALATRI,6000320003,43.0,1.171,0.18388311504866348,2.9499999999999997,0.21858128414339995
ALATRI,6000320002,80.0,3.988333333333333,1.8369325881298237,5.322222222222222,2.5129847975251645
ALATRI,6000310014,375.0,2.405666666666667,0.3016775320326878,3.511111111111111,0.6591942331642754
ALATRI,6000310009,331.0,2.161333333333333,0.28973493633549485,4.394444444444445,0.3006166501881932
ALATRI,6000310013,648.0,2.8036666666666665,0.6914913834122108,4.144444444444444,0.9522390767340202
ALATRI,6000310016,183.0,4.3260000000000005,0.7810224068488687,6.611111111111111,1.3203885511189217
ALATRI,6000310003,597.0,4.358333333333333,1.2369002923976262,6.027777777777778,2.0434402727136773
ALATRI,6000310010,137.0,3.117666666666667,0.45398935376650995,4.8277777777777775,0.7842783897268831
ALATRI,6000310002,761.0,4.372999999999999,0.23737523038430083,7.605555555555556,0.5072620770517099
ALATRI,6000310007,116.0,5.854,2.8444324565719605,7.288888888888888,3.5858647389334033
ALATRI,6000320004,42.0,1.595,0.25492547930718884,2.433333333333333,0.5220153254455274
ALATRI,6000310011,1179.0,3.0373333333333337,1.221579851394633,5.605555555555555,2.042216479256827
ALATRI,6000310018,100.0,3.5736666666666665,0.42204541619751446,5.461111111111111,0.502309481111809
ALATRI,6000310019,468.0,4.112666666666666,1.7467278933289332,7.2333333333333325,2.3594373152182797
ALBANO LAZIALE,5800310001,27443.0,2.6203333333333334,0.497933061096904,5.544444444444445,0.9704428160686541
ALBANO LAZIALE,5800310002,9433.0,3.283,1.9403765098557544,5.794444444444444,3.336012811948042
ALBANO LAZIALE,5800320002,1096.0,4.467666666666666,0.9211299220703523,8.277777777777777,1.8274400228289396
ALBANO LAZIALE,5800320007,38.0,5.206333333333334,0.9362570872005902,9.2,1.805777764104247
