"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"056059","Viterbo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",66188,,
"057059","Rieti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",45286,,
"058091","Roma","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2751747,,
"059011","Latina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",127859,,
"058004","Allumiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3734,,
"060005","Amaseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4082,,
"057002","Amatrice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2208,,
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",20627,,
"058005","Anguillara Sabazia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",19062,,
"058007","Anzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",59633,,
"059001","Aprilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",74470,,
"060007","Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4916,,
"060008","Arce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5390,,
"058008","Arcinazzo Romano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1222,,
"058117","Ardea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",50292,,
"060038","Frosinone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",43305,,
"057001","Accumoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",516,,
"060001","Acquafondata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",258,,
