ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA
202425,CENTRO,LAZIO,ROMA,RMIC8G300N,IC ROSETTA ROSSI,RMEE8G303T,FORTE BRASCHI,VIA DEL FORTE BRASCHI,00167,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8G300N@istruzione.it,Non Disponibile,www.icrosettarossi.it,NO
202425,CENTRO,LAZIO,VITERBO,VTIC80300D,"I.O. "" F.LLI AGOSTI"" BAGNOREGIO",VTEE80306R,LUBRIANO,PIAZZA COL DI LANA SNC,01020,E713,LUBRIANO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,VTIC80300D@istruzione.it,Non Disponibile,www.istagosti.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8GD00D,IC ALESSANDRO MANZONI,RMAA8GD01A,VIA LUSITANIA 18,VIA LUSITANIA 16-18,00183,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8GD00D@istruzione.it,Non Disponibile,www.a-manzoni.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC814003,I.C. CASTRO DEI VOLSCI,FRMM814047,SEZ. STAC. PASTENA,VIA PORTA NAPOLI 69,03020,G362,PASTENA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,FRIC814003@istruzione.it,Non Disponibile,ICCASTRODEIVOLSCI.GOV.IT,NO
202425,CENTRO,LAZIO,ROMA,RMIC855004,IC MARCO POLO,RMEE855027,VIA GIARRE -PRIMARIA,VIA GIARRE 41/45,00133,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC855004@istruzione.it,Non Disponibile,www.istitutocomprensivomarcopolo.gov.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC849002,I.C. 1^ SORA,FRAA849031,SORA RIONE NAPOLI,VIA LUNGOLIRI CAVOUR,03039,I838,SORA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,FRIC849002@istruzione.it,Non Disponibile,www.istitutocomprensivoprimosora.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8CX00E,"""I.C. DOMENICO BERNARDINI""",RMMM8CX01G,PAOLA SARRO,VIA CARLO EMILIO GADDA 134,00143,H501,ROMA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8CX00E@istruzione.it,Non Disponibile,www.ic-vialaurentina710-roma.it/,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AL00A,ISTITUTO COMPRENSIVO - VICOVARO,RMMM8AL068,SCUOLA SEC. I GRADO ANTICOLI C.,VIA CADUTI DI TUTTE LE GUERRE,00023,A309,ANTICOLI CORRADO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,icsvicovaro.altervista.org,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC834008,IST.OMNICOMPRENSIVO ROCCASECCA,FRIC834008,IST.OMNICOMPRENSIVO ROCCASECCA,VIA PIAVE 9,03038,H443,ROCCASECCA,NORMALE,ISTITUTO COMPRENSIVO,SI,FRIC834008,FRIC834008@istruzione.it,fric834008@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AT005,DON LORENZO MILANI,RMAA8AT012,LA TROTTOLA,VIA FRASCATI ANTICA26,00040,F590,MONTE PORZIO CATONE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8AT005@istruzione.it,Non Disponibile,www.icdonlorenzomilani.gov.it,NO
202425,CENTRO,LAZIO,RIETI,RIIC82000E,"I.C. ""VALLE DEL VELINO""",RIAA82001B,FRAZ. GROTTI,VIA 8 MARZO,02010,C746,CITTADUCALE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RIIC82000E@istruzione.it,Non Disponibile,www.icgalileicittaducale.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8A9001,ENRICO PESTALOZZI,RMMM8A9012,"""E. PESTALOZZI"" - POMEZIA",VIA GRAN BRETAGNA 35,00071,G811,POMEZIA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8A9001@istruzione.it,Non Disponibile,www.icpestalozzi.gov.it,NO
202425,CENTRO,LAZIO,LATINA,LTIC81400P,I.C. G.ROSSI-SS.COSMA DAMIANO,LTAA81403N,FRAZ. SAN LORENZO,VIA DELLE TERME,04021,I339,SANTI COSMA E DAMIANO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,LTIC81400P@istruzione.it,Non Disponibile,wwwicsanticosmaedamiano.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC85200T,I.C. 2^ PONTECORVO,FRAA85203R,SALVO D'ACQUISTO,VIA CIVITA FARNESE,03028,H917,SAN GIOVANNI INCARICO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,FRIC85200T@istruzione.it,Non Disponibile,www.istitutocomprensivo2pontecorvo.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8C9006,IC ARDEA I,RMAA8C9013,BAITA,VIA LAURENTINA KM. 32300,00040,M213,ARDEA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8C9006@istruzione.it,Non Disponibile,icardea1.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC847005,IC P.ZZA BORGONCINI DUCA 5,RMIC847005,IC P.ZZA BORGONCINI DUCA 5,P.ZZA BORGONCINI DUCA 5 ROMA,00165,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC847005@istruzione.it,rmic847005@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,LATINA,LTIC80800B,IST. COMPR. ROCCAGORGA-MAENZA,LTAA808018,BORGO MADONNA (CAPOLUOGO),VIA BORGO MADONNA,04010,H413,ROCCAGORGA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,LTIC80800B@istruzione.it,Non Disponibile,www.icroccagorgamaenza.gov.it,NO
