Comune,SI_norm_km_density_x,SP_norm_km_density_x,SS_norm_km_density_x,SI_norm_min_density_x,SP_norm_min_density_x,SS_norm_min_density_x,SI_norm_km_density_y,SP_norm_km_density_y,SS_norm_km_density_y,SI_norm_min_density_y,SP_norm_min_density_y,SS_norm_min_density_y
ACCUMOLI,0.011350483928145682,0.011350483928145682,0.02351331339027553,0.017614822990015766,0.017614822990015766,0.030054628930325303,0.007665136331522373,0.007665136331522373,0.011748849443575793,0.010410274401176733,0.010410274401176733,0.014443514697792925
ACQUAFONDATA,0.0081985055158055,0.00867711999083265,0.015131103359773251,0.0138263965655404,0.014568927887612701,0.02579296425884905,0.0068234129437061775,0.00707897369917555,0.011092391380382042,0.011485986187780338,0.0118824678562833,0.019071894262449644
ACQUAPENDENTE,0.0045620178208614255,0.00455663740001345,0.004696007758775525,0.0064739474424545754,0.00599211292640495,0.006931176119680425,0.004666746163513654,0.004831706463187029,0.0047112742526550285,0.005784598305147009,0.0060913069330674014,0.005999027695164567
ACUTO,0.0010098342078411334,0.0010098342078411334,0.0010098342078411334,0.0019074259799522668,0.0019074259799522668,0.0019074259799522668,0.0012493641143675276,0.0012493641143675276,0.0012493641143675276,0.0020598507245291205,0.0020598507245291205,0.0020598507245291205
AFFILE,0.001129730271017352,0.00042484112878410005,0.00042484112878410005,0.00172890813063425,0.000894685902265,0.000894685902265,0.0015358986038283091,0.000352652676482696,0.000352652676482696,0.002176807331299616,0.0005470913371546942,0.0005470913371546942
AGOSTA,0.00220774954889005,0.00220774954889005,0.0021921354128466002,0.0040001185987192,0.0040001185987192,0.0040200260275571,0.0013262390157021053,0.0013262390157021053,0.0013213457290858002,0.001878851854260679,0.001878851854260679,0.0018662487090104144
ALATRI,0.006498702236337947,0.006292088303223786,0.007054278379271998,0.01010863457971112,0.009775744786281362,0.011319943515792167,0.0057474688047943175,0.005376051577506548,0.006919679566627551,0.00828537800705215,0.007649947050131087,0.010085327441736158
ALBANO LAZIALE,0.0022030929558113,0.002270260507237788,0.002540467106486525,0.004418794396818162,0.004571886875091637,0.005117944310858037,0.0008453010957548588,0.0008913555847325866,0.0011338381680044327,0.0015725301287396762,0.001658410207516606,0.0019236024003369137
ALLUMIERE,0.00033222276527047044,0.0003150930062554,0.0004153411518895,0.00078220117917665,0.0007301069826109,0.0008242404150411999,0.0003529614451588542,0.0002591532613550988,0.00035994135943981826,0.000644564419386339,0.00030441980848563136,0.00044505084703632173
ALVITO,0.007410528536761784,0.007703232172619349,0.007458020946109184,0.01127042517253455,0.012425736469185232,0.011478359001630531,0.004833772680704058,0.004764583373640701,0.005132537556032669,0.006225706871578253,0.006006866025459586,0.007178897753587241
AMASENO,0.000939238334771425,0.0013680919885596249,0.000985418372489825,0.002049348780003425,0.003199371384371825,0.002210625082486375,0.0005251913379846755,0.0009699034554605724,0.0005827207712188758,0.0009622350871127564,0.0025263014616922893,0.0011431789042502852
AMATRICE,0.011154910882912483,0.011334504959753378,0.011334504959753378,0.017542324396352543,0.01820233867378145,0.01820233867378145,0.006340773941022888,0.006552086735150463,0.006552086735150463,0.008663246177746,0.008952276382300369,0.008952276382300369
ANAGNI,0.006208156799313516,0.006206802566619155,0.006058295295298873,0.009870396029275938,0.009862244940482556,0.010445195396681263,0.003439795078661721,0.00343133152633867,0.0031362292806628896,0.0054523557735571765,0.005416858479256453,0.005359882042388614
ANGUILLARA SABAZIA,0.007131654152904654,0.007030520074467544,0.006812468023294326,0.010724440471198445,0.010287435436827828,0.009965476656732917,0.009415273661810192,0.009303568284613534,0.00864253967231001,0.013640032175862038,0.013081552775446963,0.012340016112487345
ANTICOLI CORRADO,0.0035578937799659,0.0002000015241323,0.0002000015241323,0.0076356137435435,0.0006577827904798,0.0006577827904798,,,,,,
ANTRODOCO,0.026838967045958846,0.02602005785581905,0.027422810505688053,0.03212685072981095,0.031305717275525925,0.03295253090137003,0.04013338059221205,0.03921665059026937,0.0408256921708608,0.04265750529697469,0.04150883943787371,0.043867830674368086
AQUINO,0.007277682819076533,0.007707176645798383,0.00774041468467945,0.011185215645823933,0.011679762906782765,0.011432033203219434,0.005356715521884374,0.006103937833446796,0.006422781231418652,0.007114362377003659,0.007529302239229008,0.008456736946483488
ARCE,0.012015891904620279,0.00923490251352975,0.00923490251352975,0.01666007273900519,0.01341536603165887,0.01341536603165887,0.0033340051056266573,0.004495744425378757,0.004495744425378757,0.004400677291103519,0.005697966308480206,0.005697966308480206
ARCINAZZO ROMANO,0.015611086992039001,0.008005373553214,0.01273836383278365,0.01948779741682095,0.0104640760615298,0.0161991773192748,0.020828368574745744,0.009360088435353442,0.017732725068653605,0.024930946110554332,0.012098037821144075,0.022094689775431657
ARICCIA,0.0036281084784458,0.00347581410990135,0.00243832767674635,0.007624881969603051,0.0069565696869063505,0.00480476123574785,0.002230889064264585,0.002151873343935056,0.0014648827443054597,0.004662074752494774,0.0043090081078550925,0.0029249199094952727
ARLENA DI CASTRO,0.0003718786886141,0.0045670439262611,0.0045670439262611,0.0022086986477082,0.0065287964432256,0.0065287964432256,,,,,,
ARNARA,0.0016582653349196301,0.0016582653349196301,0.0016582653349196301,0.0030271764684660237,0.0030271764684660237,0.0030271764684660237,0.0013103702780077095,0.0013103702780077095,0.0013103702780077095,0.00231721168015331,0.00231721168015331,0.00231721168015331
ARPINO,0.008096135045842865,0.006554001611294885,0.006401337953443395,0.013649650972813426,0.010956717953415495,0.01035501062084262,0.0043677483524498404,0.0036225475816201,0.004329259742552639,0.007340272480969842,0.005913421929392777,0.00663764300718152
ARSOLI,0.0001628818023202,5.522601881244287e-05,8.73829411589286e-06,0.0005068210587217,0.0002563232940661,4.077870587416668e-05,,,,,,
ARTENA,0.00424728006201256,0.0040572415175839606,0.0040683790516422595,0.00680247651189104,0.006311973321005961,0.006440084113115441,0.001652440264416617,0.001708481852523926,0.0019751330606023604,0.0024446992229404667,0.002479347600626331,0.0027445092207643183
ASCREA,0.00712629182792345,0.01081789415459535,0.014479214277783599,0.0143815479724321,0.0202601099209512,0.022062913583980652,0.005619491324738191,0.0020460631936245885,0.0018697118425912956,0.012857917729737042,0.003074492680252859,0.0043076970610789
ATINA,0.004913986401300454,0.004913986401300454,0.010366669781070354,0.007976575297206136,0.007976575297206136,0.013601971515221682,0.003950454025372832,0.003950454025372832,0.011038272563347698,0.00619882825768652,0.00619882825768652,0.01209247117240031
AUSONIA,0.0036199400977804607,0.003717737804291199,0.003903678759925418,0.005746505197024832,0.006030781400861437,0.006581572595944274,0.002206421660754722,0.0022265651018878695,0.002271118192567282,0.0027272081350258677,0.0028003393204199503,0.00295826875764623
BAGNOREGIO,0.001924232903682525,0.0020252173103721587,0.0020252173103721587,0.0028161983853924747,0.003021154367598975,0.003021154367598975,0.002006668306999006,0.0021308024970229447,0.0021308024970229447,0.0020913129027406883,0.002479155076951714,0.002479155076951714
BARBARANO ROMANO,0.00023368610952936557,0.00216013888595125,0.0020457078538212003,0.00039214669698909953,0.0027859988257983,0.0025943508237386,0.0003244241138522103,0.0009796706701679825,0.0009405142721174803,0.0005482688110901065,0.0012959538731210994,0.0012268543888207081
BASSANO IN TEVERINA,9.326344248229728e-05,0.0001919862084269,0.0039361722163748,0.0002350542046301,0.0005231851651445,0.0048754791476518,,,,,,
BASSANO ROMANO,5.3876931371013554e-05,0.0001107656166695,0.0001843862682324,0.0001561650184667,0.0003402166473738,0.0006413920401311,,,,,,
BASSIANO,0.0044235061047202,0.004090820135405,0.004090820135405,0.0082727406340725,0.007282482778714275,0.007282482778714275,0.0028233985153175937,0.002647151020942711,0.002647151020942711,0.0050752997124505934,0.00445142730750101,0.00445142730750101
BELLEGRA,0.0022667076910275947,0.0022667076910275947,0.002217838402192778,0.00472340126997076,0.00472340126997076,0.004025581807120625,0.0015208257867335908,0.0015208257867335908,0.001435573561736047,0.00313684375839647,0.00313684375839647,0.002465603128252227
BELMONTE CASTELLO,0.0007639773756194,0.0009449193856345,0.0069743092526944,0.0018094201001513,0.0021612517862918,0.0088125460433297,,,,,,
BELMONTE IN SABINA,0.0026758763822481,0.0026758763822481,0.012748044467622725,0.004759795497661125,0.004759795497661125,0.018964385934626328,0.0015562926304314882,0.0015562926304314882,0.006581299691555998,0.002526423077844468,0.002526423077844468,0.00997671071842009
BLERA,0.0013424852198356922,0.0013240923347233333,0.0013480263576619324,0.0021886966106290334,0.0020223753235153667,0.002126087103842033,0.002143733792549731,0.0021029804147132676,0.002136820491241458,0.0031900939863308995,0.002969056791163065,0.003141172662289306
BOLSENA,0.0034375282648383,0.00361043644693665,0.0034375282648383,0.00449941463238365,0.0055516372373687495,0.00449941463238365,0.004282973594046218,0.004156629870185251,0.004282973594046218,0.004896816454367535,0.005202109102821359,0.004896816454367535
BOMARZO,0.003601838467474994,0.00360716165177745,0.00360716165177745,0.005251091440151173,0.0053867366591732,0.0053867366591732,0.0050871470118900065,0.004762983235150204,0.004762983235150204,0.007416131704210551,0.006594627213659529,0.006594627213659529
