Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
ACCUMOLI,369.0,14.276997289972899,17.06955736224029,3.8631717366260934,5.167469471679608
ACQUAFONDATA,249.0,25.123437751004015,35.803882195448466,2.7605448737522815,5.421151989096863
ACQUAPENDENTE,4502.0,2.0728258551754775,4.859103361468977,6.643789430739057,7.333641092026979
ACUTO,1766.0,15.0291630804077,15.835334088335221,3.6118614314505475,1.8377975949489107
AFFILE,1325.0,12.485212075471697,18.966289308176098,1.7663527394039964,3.358757210636098
AGOSTA,1588.0,9.55075,12.410138539042821,1.1738038947513052,1.3932376362670909
ALATRI,16092.0,3.783454387273179,7.389574529787057,3.4207858837553684,4.138350309850175
ALBANO LAZIALE,38363.0,3.6538448374736077,8.573358878780772,1.7389010884854013,2.7754093077232462
ALLUMIERE,3642.0,14.286589785831964,19.075027457440967,1.1370277041479713,2.250956586777176
ALVITO,934.0,18.519647751605994,19.918415417558887,2.347490628309302,2.133219397999184
AMASENO,2299.0,27.000200086994344,31.60514716543425,0.587340616678261,0.6129769495998517
AMATRICE,1806.0,3.7218947951273536,5.625609080841639,3.1092612125782355,3.789525992307852
ANAGNI,12468.0,1.981929258902791,3.5188322104587746,2.356469689746255,3.0751085615331104
ANGUILLARA SABAZIA,17530.0,11.491441642897888,14.712799961969957,2.480935926767814,3.7386515151208144
ANTICOLI CORRADO,794.0,21.371000000000002,25.6,,
ANTRODOCO,2289.0,21.556647444298815,22.32505460899956,4.605761102503402,4.719156684707006
AQUINO,3586.0,12.907122978248745,19.632519985127345,1.7191790676560332,2.777548879457889
ARCE,2881.0,15.251031239153072,18.395996760384126,1.9496433975929492,2.1021916840628996
ARCINAZZO ROMANO,1179.0,12.190932994062765,17.846536612948825,4.152131019127407,3.02877404608238
ARICCIA,17837.0,2.811726355328811,5.1518005643699425,0.22344574285494892,0.5539003119294621
ARLENA DI CASTRO,799.0,26.324,30.1,,
ARNARA,1011.0,11.684675568743817,17.191180349488956,1.598601732765231,2.115209472158989
ARPINO,2995.0,5.857742904841401,9.936727879799667,2.0433683264764233,3.0527759192843456
ARSOLI,1260.0,18.295,20.866666666666667,,
ARTENA,12903.0,9.691027900488256,12.507139166602082,3.295947784780578,4.116339393198767
ASCREA,174.0,38.48665517241379,44.5103448275862,5.506947611880835,6.222539674441622
ATINA,2613.0,21.845604668962878,25.260167113152193,1.513572347131117,1.0412480640386317
AUSONIA,1613.0,21.12876751394916,25.783178342632773,1.5572143219365935,1.9111151485745457
BAGNOREGIO,3005.0,14.872747088186356,17.300643372157516,0.9458250366743308,2.095116676676716
BARBARANO ROMANO,852.0,13.930607981220659,17.84845461658842,0.7368052659963824,0.8603132504436317
BASSANO IN TEVERINA,1036.0,20.05,20.0,,
BASSANO ROMANO,3394.0,9.71,12.966666666666669,,
BASSIANO,1141.0,22.055105170902717,32.678337715454276,1.5096207857162893,0.551995538092539
BELLEGRA,2058.0,15.621529640427598,24.57452218982831,1.3055097344204927,1.0785363882320989
BELMONTE CASTELLO,296.0,12.099,12.55,,
BELMONTE IN SABINA,463.0,18.379591792656587,23.574082073434123,3.520230804459654,5.124801260825923
BLERA,2798.0,18.41465725518227,23.4262925899452,3.8941272449677355,4.926976008932111
BOLSENA,3107.0,15.040521725136788,17.578135393198153,3.843125355748886,4.042293765783096
BOMARZO,1584.0,17.81782196969697,17.728377525252526,3.7009968927303882,4.655119642811437
BORBONA,549.0,30.431887067395262,27.632999392835455,4.331451950558842,5.066419950133538
BORGO VELINO,917.0,19.568068702290073,21.223209741912026,1.1631906550518705,1.1667261889578049
BORGOROSE,4115.0,50.29186439854192,41.62929526123936,4.3066257156787,3.4054631824730532
BOVILLE ERNICA,4062.0,7.558463810930576,11.01119727556212,2.1545323670319356,2.5940444454494838
BRACCIANO,16521.0,1.7044520912777674,3.7040957972681237,3.019898653560708,3.153896766670529
BROCCOSTELLA,1626.0,4.850758302583025,8.171371463714639,2.431994311945102,3.136183691710061
CALCATA,801.0,14.061334581772785,16.997940074906367,0.18400090579487147,0.6619276003825109
CAMERATA NUOVA,382.0,32.725,36.93333333333333,,
CAMPAGNANO DI ROMA,8623.0,27.658114229386527,33.16489814063164,2.515281478615598,2.1654269957849133
CAMPODIMELE,387.0,15.816573643410853,27.537381567614126,1.0224764055957476,1.9563287612827809
CAMPOLI APPENNINO,796.0,6.12662688442211,8.573701842546065,0.769286899234176,1.3679194799781542
CANALE MONTERANO,3134.0,9.284331206126357,12.53396085939162,0.7917004378761792,1.4867547931030218
CANEPINA,2755.0,15.007788384754988,19.66862068965517,1.596647111919225,2.9109229158846195
CANINO,4786.0,41.817,36.48333333333333,,
CANTALICE,2055.0,8.410386374695864,11.806342254663424,2.107365170927043,2.9968442998553924
CANTALUPO IN SABINA,1345.0,23.135040148698884,29.237682775712518,0.8895403307326761,1.261007093116011
CANTERANO,317.0,11.011,16.616666666666667,,
CAPENA,9992.0,57.30727101681345,53.51765078729651,1.6449511499477076,2.14087209644419
CAPODIMONTE,1509.0,13.476056328694499,15.728584051248069,0.7649067481290336,0.608352358911011
CAPRANICA,5593.0,0.7771247988557123,2.4670063770188926,2.4996456248836556,3.6851899543985525
CAPRANICA PRENESTINA,272.0,18.35108455882353,31.62549019607843,2.4376646611049693,2.6169497369888326
CAPRAROLA,4511.0,8.283243848370649,10.333366585383876,2.1043497808111646,2.993418707023051
CARBOGNANO,1773.0,10.742,12.183333333333334,,
CARPINETO ROMANO,3866.0,19.196,22.7,,
CASALATTICO,199.0,21.517648241206032,23.159798994974874,2.4817494501527197,3.966024691281164
CASALVIERI,673.0,16.647736998514116,19.920876671619617,1.9926491340495869,2.1430535624264206
CASAPE,622.0,6.71,10.466666666666669,,
CASAPROTA,555.0,29.131718918918917,35.5227027027027,3.023588596353677,0.8131727983645286
CASPERIA,829.0,27.82264053075995,35.28854041013269,1.8823797438349166,2.541691256711649
CASSINO,3591.0,5.88207261208577,9.557054673721339,2.316516150663915,2.806190931114794
CASTEL DI TORA,229.0,36.278,40.86666666666667,,
CASTEL GANDOLFO,8424.0,3.4179169040835706,6.794349477682811,1.006719590220302,1.829617446353199
CASTEL MADAMA,6135.0,7.425686226568868,10.62037489812551,2.9493872866523763,3.1683752700480183
CASTEL SAN PIETRO ROMANO,753.0,4.7751792828685256,9.407060646303673,1.7858716825871526,3.0597862125754247
CASTEL SANT'ANGELO,1081.0,15.534971322849215,16.420921985815603,2.323228695464261,2.9105332335679828
CASTEL SANT'ELIA,2181.0,7.452369096744612,8.952460644964082,1.6220624731084392,1.3332204813352702
CASTELFORTE,3913.0,7.871650140557118,10.318945395689584,2.016898080386479,2.77107413322918
CASTELLIRI,1871.0,3.1564061998931052,5.736192766791378,1.2650140315427336,1.3906433363335429
CASTELNUOVO DI FARFA,672.0,39.574,44.45,,
CASTELNUOVO DI PORTO,7705.0,55.858133939000645,51.60718148388493,3.417432146537876,2.39987323298368
CASTELNUOVO PARANO,742.0,19.836884097035036,24.350179694519316,2.047805435093872,3.0343038740376684
CASTIGLIONE IN TEVERINA,2001.0,30.062255372313846,30.882492087289688,2.4677431659987086,1.8957066502240556
CASTRO DEI VOLSCI,1815.0,21.358447382920108,26.24355371900826,5.310558238972981,2.6004349453047086
CASTROCIELO,1316.0,15.362620060790272,21.073315602836878,2.1732579846527984,1.2964829561377025
CAVE,10073.0,6.644809589993051,11.51601806810285,1.6524822490221591,2.3306085280696784
CECCANO,17815.0,10.528305697445973,15.995747029656659,2.7845682080734,4.00607533642836
CELLENO,965.0,13.638381347150258,16.435630397236615,0.6604377336282349,1.8149074050454732
CELLERE,1036.0,28.966,27.883333333333333,,
CEPRANO,5607.0,22.30422578919208,26.177774805302892,1.5505350689358812,1.6399808038623627
CERRETO LAZIALE,1069.0,18.297047708138447,30.553227315247895,1.6312953441973643,1.4142135623730951
CERVARA DI ROMA,347.0,14.271190201729109,22.751536983669546,5.849840532014526,10.421847600469285
