Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
AFFILE,1345.0,0.3759420074349442,1.128983890954151,4.140261706704059,5.903208481018637
AGOSTA,1588.0,2.3101460957178843,5.196730688497061,1.204778290461223,1.1525811411944222
ALBANO LAZIALE,38363.0,2.855827455273745,5.658654027173173,1.3989262520698362,2.1508862657972085
ALLUMIERE,3642.0,0.7456709225700165,2.574828390993959,1.1175822676653384,1.549742362100517
ANGUILLARA SABAZIA,17530.0,2.133847005134056,2.880322938454712,3.7455256420632788,3.8653345116101168
ANTICOLI CORRADO,794.0,0.3,0.95,,
ARCINAZZO ROMANO,1179.0,2.4654147582697203,4.222801809443031,5.292694257181308,6.941431568647942
ARICCIA,17854.0,3.6232678671446177,6.4138330346140915,0.6465899653824928,1.106180030220786
ARSOLI,1260.0,16.039,17.683333333333334,,
ARTENA,12905.0,1.976627353738861,3.271446467777347,1.9832917241200205,2.427840070393313
BELLEGRA,2058.0,18.056472303207,25.702749433106572,1.3385673311417698,2.118661570863042
BRACCIANO,16521.0,1.8470922865847508,5.204042329963885,2.821216035858944,2.3718173390275936
CAMERATA NUOVA,397.0,0.20046851385390427,0.7120486985726279,0.7947880220536795,1.473139127471974
CAMPAGNANO DI ROMA,8623.0,1.8631088948161894,3.7345915961189062,1.624472070938512,2.3328322874740657
CANALE MONTERANO,3134.0,1.7208166879387368,3.0235987024037434,0.12724999999999997,0.6644581473875008
CANTERANO,329.0,1.602306990881459,3.5755319148936167,0.4518412331782039,0.4949747468305834
CAPENA,9992.0,2.242573708967174,3.5874441219642383,1.9767688883871173,2.133027941930954
CAPRANICA PRENESTINA,272.0,6.37764338235294,10.289767156862746,1.7365000026660697,2.666163146907168
CARPINETO ROMANO,3866.0,0.5696666666666668,2.0444444444444443,,
CASAPE,622.0,0.196,1.2166666666666666,,
CASTEL GANDOLFO,8424.0,3.1411962646407083,5.981742640075974,0.9688545546923686,1.2910223402898848
CASTEL MADAMA,6135.0,0.6086516707416464,2.1129611518609073,1.9427885886014462,2.7751864301740565
CASTEL SAN PIETRO ROMANO,754.0,1.2472466843501326,2.796485411140583,1.8903718417284998,3.457548103626164
CASTELNUOVO DI PORTO,7705.0,5.37813627514601,7.759094743672939,1.6599701768692223,2.6478583988818394
CAVE,10073.0,1.2917144511731031,3.1754144743373374,1.2729283096394242,1.3142030397277393
CERRETO LAZIALE,1069.0,0.22760710944808232,0.6908169628936701,1.6510943340705884,2.7459313336077593
CERVARA DI ROMA,387.0,4.902219638242895,8.764642549526272,2.5374861482145974,4.049769736742439
CERVETERI,31451.0,2.447960139052282,4.780305872627262,3.35094768701499,3.5871637150426405
CIAMPINO,37832.0,0.9616694332839925,2.6990739761753715,0.7563364883422481,1.1684459850537559
CICILIANO,1113.0,0.5439056603773585,1.7937106918238994,1.1370277041479686,2.722361107568208
CINETO ROMANO,566.0,0.851226148409894,2.4690223792697292,0.4921463197058371,1.7913371790059205
CIVITELLA SAN PAOLO,1485.0,0.21807003367003364,0.392020202020202,1.4682664381280848,2.372820637506716
COLLEFERRO,20520.0,0.88321671539961,2.4704061078622486,1.657190915821554,2.320721537968337
COLONNA,3915.0,0.888776841209025,2.3815467574854554,1.1981591899428239,2.1025851225410266
FIANO ROMANO,13944.0,1.469,3.138888888888889,,
FILACCIANO,370.0,0.168,0.8666666666666667,,
FONTE NUOVA,31026.0,0.9178697651432134,2.451924013551359,1.500530209996157,2.1556464757457476
FORMELLO,12094.0,4.020308114216416,5.7700333498704595,2.049469131159754,2.128269521969027
FRASCATI,22080.0,3.562333333333333,10.47222222222222,,
GALLICANO NEL LAZIO,5649.0,2.687519915029209,6.240135913927736,2.068492991420458,2.561744920369129
GAVIGNANO,1192.0,1.61007466442953,3.028383668903804,1.4663327271348296,2.0591452996521067
GENAZZANO,4500.0,0.6665997777777779,1.5729654320987656,2.24461105223013,2.73198080809556
GENZANO DI ROMA,21190.0,1.5172875884851345,5.261842850401133,3.261051298192724,4.1248846250766835
GERANO,957.0,0.916501567398119,3.359717868338558,0.08061017305526641,0.2239171473757399
GORGA,573.0,1.5621989528795814,2.689005235602094,3.8236617702581035,6.144102863722254
GROTTAFERRATA,20012.0,1.6990480711573055,4.3863362538032735,1.0424431106246943,1.4179146040636614
JENNE,317.0,0.4823091482649842,1.7610935856992638,0.2672863632885149,0.518544972870135
LABICO,6129.0,2.126563876651982,2.985147114809376,3.411083112443905,5.008673033404712
LANUVIO,9621.0,1.7076808717042582,3.2412130871126816,1.5012999446511428,1.9236616089870517
