Comune,SI_mean_km,SP_mean_km,SS_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min
ACCUMOLI,7.538986914263452,7.538986914263452,14.856323484501287,11.583763011094252,11.583763011094252,19.506069830810873,4.768208919500068,4.768208919500068,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989
ACQUAFONDATA,5.24424604292886,5.62024604292886,10.412990391793711,8.854635992922617,9.43796932625595,17.670355368079786,2.240821389580169,2.240821389580169,2.7605448737522815,3.759451053308479,3.759451053308477,4.855466564147627
ACQUAPENDENTE,5.273215454771853,5.118367671979095,5.5282154547718525,8.41566950735154,7.126602883987718,9.217029542919862,6.573614353357418,6.888246850009564,6.573614353357418,7.557831050320267,8.427703160147226,7.6860925390290795
ACUTO,1.6510451772346975,1.6510451772346975,1.6510451772346975,3.4315516318184027,3.4315516318184027,3.4315516318184027,1.7239957463211253,1.7239957463211253,1.7239957463211253,2.567983067903104,2.567983067903104,2.567983067903104
AFFILE,4.878522152121633,1.670054762426858,1.670054762426858,7.33889966174904,3.37395655852734,3.37395655852734,5.804639566760368,1.4538115421195414,1.4538115421195414,8.320289791961708,2.427733282073813,2.427733282073813
AGOSTA,2.5983745981982707,2.5983745981982707,2.5759646491308796,5.345382471850349,5.345382471850349,5.347796384469246,1.2034202646346506,1.2034202646346506,1.2031943594725945,1.0171105588326614,1.0171105588326614,0.9930312739844155
ALATRI,6.125386866429978,6.094074783465787,6.130068885639889,9.79336007338749,9.733458882061083,10.34655274059973,2.0835993766638214,1.8625793094075318,3.1395622524334126,2.6951155548887717,2.312975216119302,4.055823675633679
ALBANO LAZIALE,4.705187061008694,4.872163446697858,5.250404440661161,9.689200386575862,10.033547538235696,11.05781656698041,0.5798324675940378,0.6719456355560747,0.9665695835896325,0.9197528015990949,1.1715377901078536,1.0928892745792227
ALLUMIERE,1.1253878227999063,1.2051843521636112,1.5551927214164296,2.9895611525543906,3.3322345072864263,3.5770607256961706,1.1561195872400052,0.7191275964667189,1.039446968344225,1.7913371790059203,0.18856180831641295,0.7188918942063229
ALVITO,2.329008106792123,2.452032887996111,2.3068549079724785,3.6280531909352582,4.124494632839451,3.581943466276146,1.9539895598492845,1.9049138213228092,2.0610852157702424,2.3034856839790208,2.087972612279584,2.6468989542621517
