Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min,std_diff
ACCUMOLI,369.0,4.913219512195122,4.913219512195122,14.299333333333337,14.299333333333337,7.364995483288166,7.364995483288166,17.643360433604336,17.643360433604336,4.768208919500068,4.768208919500068,3.863248654522081,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989,5.097948025830989,369.0,6.135867208672087,6.135867208672087,65.9310840108401,65.9310840108401,44.69602529358627,44.69602529358627,157.01287262872626,157.01287262872626,6.697290486955652,6.697290486955652,20.779140556497197,20.779140556497197,45.63666289289786,45.63666289289786,74.88058845774236,74.88058845774236,1.2226476964769653,37.3310298102981,1.2226476964769653,37.3310298102981,51.63175067750676,139.36951219512193,51.63175067750676,139.36951219512193,58.911945272578926
ACQUAFONDATA,249.0,5.072522088353414,5.448522088353414,10.201437751004017,,8.566532797858098,9.149866131191432,17.29825970548862,,2.240821389580169,2.240821389580169,2.760544873752281,,3.759451053308478,3.759451053308477,4.855466564147627,,249.0,5.129373493975903,17.74484738955823,10.550638554216867,,56.77255689424365,93.88159303882192,31.350468540829983,,3.156524671216748,36.85864807612997,3.635943068861229,,7.719249027953147,95.82475396379697,0.0471404520791055,,0.05685140562248936,48.20602409638555,12.296325301204817,84.73172690763049,0.34920080321285063,14.052208835341364,,,35.34639146521175
ASCREA,174.0,5.22609195402299,14.944471264367817,16.947655172413793,18.821862068965515,9.540996168582376,27.48639846743295,24.857279693486586,29.402873563218392,2.264155913359325,7.759082709959985,5.5069476118808325,3.273197290112528,6.175399222362515,13.7296566680388,6.847150664489733,3.323401871576768,174.0,5.22609195402299,31.253896551724136,61.116908045977006,40.76759770114943,48.97088122605364,149.55536398467433,155.29233716475096,106.30268199233716,2.264155913359325,42.407314988100815,46.00366007721559,12.563873288122576,30.028467974388715,361.7440441420179,104.60466316352992,4.195500235040204,0.0,39.42988505747127,16.30942528735632,122.06896551724138,44.16925287356321,130.43505747126437,21.94573563218391,76.89980842911876,50.30101145418406
BASSANO IN TEVERINA,1036.0,0.205,0.422,8.652,9.552,0.5166666666666667,1.15,10.716666666666669,12.65,,,,,,,,,1036.0,0.205,0.422,8.695,9.565,2.55,5.416666666666667,77.9,23.48333333333333,,,,,,,,,0.0,2.033333333333333,0.0,4.2666666666666675,0.04300000000000104,67.18333333333334,0.0129999999999999,10.83333333333333,36.986522820756896
BELMONTE IN SABINA,463.0,2.6927213822894167,2.6927213822894167,10.925099352051836,10.925099352051836,4.800791936645068,4.800791936645068,16.26641468682505,16.26641468682505,1.529502424537688,1.529502424537688,1.6862682665183109,1.6862682665183109,2.2512959230925937,2.2512959230925937,2.333149794368754,2.333149794368754,463.0,2.558509719222462,2.558509719222462,23.04583369330453,23.04583369330453,36.48002159827214,36.48002159827214,178.47177825773937,178.47177825773937,1.4101791848319607,1.4101791848319607,2.4572224156555302,2.4572224156555302,18.978128249431023,18.978128249431023,26.695550329734864,26.695550329734864,-0.13421166306695476,31.67922966162707,-0.13421166306695476,31.67922966162707,12.120734341252694,162.20536357091433,12.120734341252694,162.20536357091433,75.35929854880814
CAMERATA NUOVA,382.0,31.99,0.128,31.99,31.99,36.516666666666666,0.5,36.516666666666666,36.516666666666666,,,,,,,,,382.0,41.004,0.128,41.004,41.004,89.41666666666669,1.666666666666667,89.41666666666669,89.41666666666669,,,,,,,,,9.014,52.90000000000002,0.0,1.166666666666667,9.014,52.90000000000002,9.014,52.90000000000002,29.868253926076655
CANTERANO,317.0,8.669,1.579,8.646,10.275,14.2,3.65,14.116666666666667,15.833333333333334,,,,,,,,,317.0,8.232,0.047,8.209,10.024,65.55,0.9166666666666666,65.26666666666667,69.06666666666666,,,,,,,,,-0.43700000000000117,51.349999999999994,-1.532,-2.7333333333333334,-0.43700000000000117,51.15,-0.2510000000000012,53.23333333333333,31.167452455928967
CAPRANICA PRENESTINA,272.0,10.546628676470588,12.359952205882353,16.062952205882354,16.472830882352945,17.199142156862745,22.00839460784314,28.38511029411765,27.467218137254903,5.250911444692246,3.25017420045962,3.250174200459621,5.514383495308734,7.488682819452986,4.878021380907693,4.818377243352709,7.360046044541961,272.0,10.597415441176471,77.97941544117646,75.01541544117647,27.713415441176476,25.18621323529411,216.4028799019608,211.0362132352941,60.88621323529412,5.318370897182708,5.318370897182708,5.318370897182704,5.318370897182708,8.224798770475472,8.22479877047546,8.224798770475486,8.224798770475473,0.05078676470588306,7.9870710784313665,65.6194632352941,194.39448529411766,58.95246323529412,182.65110294117645,11.240584558823532,33.41899509803922,104.39760144931161
CASTELNUOVO DI FARFA,672.0,0.358,8.164,10.344,11.372,1.6,13.5,15.066666666666666,16.0,,,,,,,,,672.0,0.228,62.256,61.73,26.87,3.8333333333333335,160.0,153.06666666666666,261.28333333333336,,,,,,,,,-0.12999999999999998,2.2333333333333334,54.092,146.5,51.385999999999996,138.0,15.498000000000001,245.28333333333336,80.95030254101266
CERRETO LAZIALE,1069.0,0.2629504209541628,7.669228250701589,7.669228250701589,,0.682725288431556,10.04396632366698,10.04396632366698,,1.8731258633631644,1.5351288219559935,1.5351288219559935,,3.005203820042827,1.1902964149973552,1.1902964149973552,,1069.0,0.2268419083255379,8.848572497661367,8.848572497661367,,4.401730589335827,92.35056127221704,92.35056127221704,,0.781352993211135,1.4340125522463187,1.4340125522463187,,15.674200316301803,9.557726659038176,9.557726659038176,,-0.03610851262862491,3.719005300904271,1.1793442469597784,82.30659494855006,1.1793442469597784,82.30659494855006,,,45.37256603803214
