Accumoli;Rieti;501;87.37;5.7
Acquafondata;Frosinone;249;25.32;9.8
Acquapendente;Viterbo;5,227;131.61;39.7
Acuto;Frosinone;1,817;13.47;134.9
Affile;Roma;1,398;15.11;92.5
Agosta;Roma;1,669;9.50;175.7
Alatri;Frosinone;27,531;96.96;283.9
Albano Laziale;Roma;39,634;23.80;1,665.3
Allumiere;Roma;3,788;92.17;41.1
Alvito;Frosinone;2,461;51.72;47.6
Amaseno;Frosinone;4,079;77.73;52.5
Amatrice;Rieti;2,173;174.40;12.5
Anagni;Frosinone;20,603;112.82;182.6
Anguillara Sabazia;Roma;19,07;75.24;253.5
Anticoli Corrado;Roma;855;16.22;52.7
Antrodoco;Rieti;2,263;63.90;35.4
Anzio;Roma;59,793;43.65;1,369.8
Aprilia;Latina;74,615;178.11;418.9
Aquino;Frosinone;4,919;19.24;255.7
Arce;Frosinone;5,389;39.52;136.4
Arcinazzo Romano;Roma;1,229;28.31;43.4
Ardea;Roma;50,781;72.09;704.4
Ariccia;Roma;17,936;18.59;964.8
Arlena di Castro;Viterbo;797;21.87;36.4
Arnara;Frosinone;2,158;12.29;175.6
Arpino;Frosinone;6,561;56.24;116.7
Arsoli;Roma;1,334;12.20;109.3
Artena;Roma;13,655;54.80;249.2
Ascrea;Rieti;204;13.98;14.6
Atina;Frosinone;4,076;29.89;136.4
Ausonia;Frosinone;2,417;19.64;123.1
Bagnoregio;Viterbo;3,295;72.81;45.3
Barbarano Romano;Viterbo;981;37.56;26.1
Bassano in Teverina;Viterbo;1,275;12.17;104.8
Bassano Romano;Viterbo;4,615;37.55;122.9
Bassiano;Latina;1,421;32.40;43.9
Bellegra;Roma;2,611;18.78;139.0
Belmonte Castello;Frosinone;655;14.05;46.6
Belmonte in Sabina;Rieti;630;23.65;26.6
Blera;Viterbo;2,907;92.92;31.3
Bolsena;Viterbo;3,682;63.57;57.9
Bomarzo;Viterbo;1,677;39.65;42.3
Borbona;Rieti;577;47.96;12.0
Borgo Velino;Rieti;904;18.29;49.4
Borgorose;Rieti;4,226;145.82;29.0
Boville Ernica;Frosinone;8,253;28.19;292.8
Bracciano;Roma;18,454;143.06;129.0
Broccostella;Frosinone;2,614;11.79;221.7
Calcata;Viterbo;901;7.63;118.1
Camerata Nuova;Roma;403;40.50;10.0
Campagnano di Roma;Roma;10,946;46.94;233.2
Campodimele;Latina;555;38.38;14.5
Campoli Appennino;Frosinone;1,592;32.43;49.1
Canale Monterano;Roma;4,165;36.92;112.8
Canepina;Viterbo;2,91;20.85;139.6
Canino;Viterbo;5,029;124.04;40.5
Cantalice;Rieti;2,415;37.62;64.2
Cantalupo in Sabina;Rieti;1,657;10.62;156.0
Canterano;Roma;352;7.37;47.8
Capena;Roma;10,971;29.51;371.8
Capodimonte;Viterbo;1,65;61.29;26.9
Capranica;Viterbo;6,361;40.97;155.3
Capranica Prenestina;Roma;324;20.36;15.9
Caprarola;Viterbo;5,166;57.58;89.7
Carbognano;Viterbo;1,968;17.41;113.0
Carpineto Romano;Roma;3,945;86.29;45.7
Casalattico;Frosinone;512;28.38;18.0
Casalvieri;Frosinone;2,41;27.27;88.4
Casape;Roma;616;5.38;114.5
Casaprota;Rieti;676;14.55;46.5
Casperia;Rieti;1,203;25.31;47.5
Cassino;Frosinone;34,925;83.42;418.7
Castel di Tora;Rieti;272;15.49;17.6
Castel Gandolfo;Roma;8,538;14.19;601.7
Castel Madama;Roma;7,021;28.80;243.8
Castel San Pietro Romano;Roma;850;15.29;55.6
Castel Sant'Angelo;Rieti;1,171;31.27;37.4
Castel Sant'Elia;Viterbo;2,428;23.92;101.5
Castelforte;Latina;4,024;29.71;135.4
Castelliri;Frosinone;3,149;15.32;205.5
Castelnuovo di Farfa;Rieti;993;8.84;112.3
Castelnuovo di Porto;Roma;8,635;30.57;282.5
Castelnuovo Parano;Frosinone;848;9.88;85.8
Castiglione in Teverina;Viterbo;2,301;19.89;115.7
Castro dei Volsci;Frosinone;4,35;58.45;74.4
Castrocielo;Frosinone;3,73;27.92;133.6
Cave;Roma;10,889;17.88;609.0
Ceccano;Frosinone;22,098;61.06;361.9
Celleno;Viterbo;1,312;23.82;55.1
Cellere;Viterbo;1,094;37.20;29.4
Ceprano;Frosinone;7,982;38.03;209.9
Cerreto Laziale;Roma;1,061;12.08;87.8
Cervara di Roma;Roma;462;31.75;14.6
Cervaro;Frosinone;7,771;39.41;197.2
Cerveteri;Roma;38,09;134.32;283.6
Ciampino;Roma;38,849;13.00;2,988.4
Ciciliano;Roma;1,244;18.85;66.0
Cineto Romano;Roma;582;10.37;56.1
Cisterna di Latina;Latina;36,253;144.16;251.5
Cittaducale;Rieti;6,417;71.25;90.1
Cittareale;Rieti;375;59.67;6.3
Civita Castellana;Viterbo;15,031;84.22;178.5
Civitavecchia;Roma;51,639;73.74;700.3
Civitella d'Agliano;Viterbo;1,449;32.96;44.0
Civitella San Paolo;Roma;1,994;20.75;96.1
Colfelice;Frosinone;1,768;14.52;121.8
Collalto Sabino;Rieti;381;22.37;17.0
Colle di Tora;Rieti;348;14.37;24.2
Colle San Magno;Frosinone;612;44.99;13.6
Colleferro;Roma;20,456;26.99;757.9
Collegiove;Rieti;128;10.61;12.1
Collepardo;Frosinone;866;24.68;35.1
Collevecchio;Rieti;1,609;26.95;59.7
Colli sul Velino;Rieti;462;12.76;36.2
Colonna;Roma;4,258;3.55;1,199.4
Concerviano;Rieti;278;21.39;13.0
Configni;Rieti;568;22.93;24.8
Contigliano;Rieti;3,659;53.55;68.3
Corchiano;Viterbo;3,526;33.03;106.8
Coreno Ausonio;Frosinone;1,489;26.38;56.4
Cori;Latina;10,407;85.31;122.0
Cottanello;Rieti;527;36.70;14.4
Esperia;Frosinone;3,56;108.57;32.8
Fabrica di Roma;Viterbo;8,175;34.79;235.0
Faleria;Viterbo;2,008;25.68;78.2
Falvaterra;Frosinone;515;12.73;40.5
Fara in Sabina;Rieti;13,891;54.96;252.7
Farnese;Viterbo;1,348;52.38;25.7
Ferentino;Frosinone;19,969;81.00;246.5
Fiamignano;Rieti;1,157;100.62;11.5
Fiano Romano;Roma;16,666;41.19;404.6
Filacciano;Roma;467;5.66;82.5
Filettino;Frosinone;536;78.08;6.9
Fiuggi;Frosinone;10,18;32.98;308.7
Fiumicino;Roma;83,075;213.89;388.4
Fondi;Latina;39,869;143.92;277.0
Fontana Liri;Frosinone;2,63;16.11;163.3
Fonte Nuova;Roma;32,697;19.94;1,639.8
Fontechiari;Frosinone;1,197;16.15;74.1
Forano;Rieti;3,276;17.69;185.2
Formello;Roma;13,86;31.15;444.9
Formia;Latina;36,781;74.17;495.9
Frascati;Roma;22,883;22.48;1,017.9
Frasso Sabino;Rieti;738;4.39;168.1
Frosinone;Frosinone;43,099;46.85;919.9
Fumone;Frosinone;1,94;14.84;130.7
Gaeta;Latina;19,115;29.20;654.6
