InputID,TargetID,Distance
Pozzaglia Sabina,Roma,51675.0608649943
Rieti,Roma,66157.568077247
Rivodutri,Roma,78255.0892653219
Roccantica,Roma,52368.1252067077
Rocca Sinibalda,Roma,57983.4848601429
Salisano,Roma,49258.6481675231
Scandriglia,Roma,44664.834325468
Selci,Roma,49312.553998845
Stimigliano,Roma,46356.2517012793
Tarano,Roma,51352.9472179373
Toffia,Roma,43333.0869285825
Torricella in Sabina,Roma,54825.9450701661
Torri in Sabina,Roma,54573.0751556134
Turania,Roma,53053.6836672045
Vacone,Roma,58164.45281041
Varco Sabino,Roma,61549.9266432115
Affile,Roma,51642.0397655654
Agosta,Roma,49168.2751142437
Albano Laziale,Roma,24136.1679352912
Allumiere,Roma,54782.7774611408
Anguillara Sabazia,Roma,26871.1543272323
Anticoli Corrado,Roma,45119.1291264459
Anzio,Roma,44320.0625289731
Arcinazzo Romano,Roma,56344.3040530753
Ariccia,Roma,26051.2784452529
Arsoli,Roma,49599.0882289711
Artena,Roma,39965.6475207482
Bellegra,Roma,46538.1222617055
Bracciano,Roma,33676.786299856
Camerata Nuova,Roma,58860.8399916528
Campagnano di Roma,Roma,28318.8454778026
Canale Monterano,Roma,42204.9511817778
Canterano,Roma,48314.2995527931
Capena,Roma,28416.0324734614
Capranica Prenestina,Roma,39337.3504804007
Cori,Roma,45507.5262031358
Fondi,Roma,99883.7069682179
Formia,Roma,118011.08341525
Gaeta,Roma,115478.577054344
Itri,Roma,109861.785689145
Latina,Roma,58068.9733366288
Lenola,Roma,98647.7623125733
Maenza,Roma,71121.8632949208
Minturno,Roma,127174.459386921
Monte San Biagio,Roma,91728.8457946714
Norma,Roma,53466.8743546154
Pontinia,Roma,76272.4208269219
Ponza,Roma,115134.832694759
Priverno,Roma,74581.7555871297
Prossedi,Roma,79128.4373861119
Roccagorga,Roma,68599.7560532033
Rocca Massima,Roma,43588.9695554216
Roccasecca dei Volsci,Roma,79125.7920458732
Sabaudia,Roma,76662.238853731
San Felice Circeo,Roma,87411.8103949126
