FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y0,0 anni,99,Totale,2024,28,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y1,1 anni,99,Totale,2024,27,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y2,2 anni,99,Totale,2024,26,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y3,3 anni,99,Totale,2024,23,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y4,4 anni,99,Totale,2024,39,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y5,5 anni,99,Totale,2024,38,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y6,6 anni,99,Totale,2024,42,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y7,7 anni,99,Totale,2024,32,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y8,8 anni,99,Totale,2024,28,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y9,9 anni,99,Totale,2024,40,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y10,10 anni,99,Totale,2024,46,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y11,11 anni,99,Totale,2024,28,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y12,12 anni,99,Totale,2024,43,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y13,13 anni,99,Totale,2024,38,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y14,14 anni,99,Totale,2024,31,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y15,15 anni,99,Totale,2024,40,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y16,16 anni,99,Totale,2024,36,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y17,17 anni,99,Totale,2024,46,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y18,18 anni,99,Totale,2024,37,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y19,19 anni,99,Totale,2024,50,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y20,20 anni,99,Totale,2024,29,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y21,21 anni,99,Totale,2024,55,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y22,22 anni,99,Totale,2024,58,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y23,23 anni,99,Totale,2024,46,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y24,24 anni,99,Totale,2024,52,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y25,25 anni,99,Totale,2024,52,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y26,26 anni,99,Totale,2024,57,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y27,27 anni,99,Totale,2024,40,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y28,28 anni,99,Totale,2024,52,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y29,29 anni,99,Totale,2024,59,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y30,30 anni,99,Totale,2024,58,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y31,31 anni,99,Totale,2024,52,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y32,32 anni,99,Totale,2024,54,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y33,33 anni,99,Totale,2024,50,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y34,34 anni,99,Totale,2024,45,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y35,35 anni,99,Totale,2024,64,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y36,36 anni,99,Totale,2024,60,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y37,37 anni,99,Totale,2024,50,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y38,38 anni,99,Totale,2024,51,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y39,39 anni,99,Totale,2024,69,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y40,40 anni,99,Totale,2024,54,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y41,41 anni,99,Totale,2024,74,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y42,42 anni,99,Totale,2024,67,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y43,43 anni,99,Totale,2024,75,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y44,44 anni,99,Totale,2024,52,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y45,45 anni,99,Totale,2024,56,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y46,46 anni,99,Totale,2024,56,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y47,47 anni,99,Totale,2024,79,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y48,48 anni,99,Totale,2024,73,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y49,49 anni,99,Totale,2024,75,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y50,50 anni,99,Totale,2024,80,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y51,51 anni,99,Totale,2024,89,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y52,52 anni,99,Totale,2024,84,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y53,53 anni,99,Totale,2024,78,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y54,54 anni,99,Totale,2024,79,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y55,55 anni,99,Totale,2024,81,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y56,56 anni,99,Totale,2024,85,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y57,57 anni,99,Totale,2024,85,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y58,58 anni,99,Totale,2024,82,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y59,59 anni,99,Totale,2024,92,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y60,60 anni,99,Totale,2024,99,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y61,61 anni,99,Totale,2024,101,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y62,62 anni,99,Totale,2024,80,,
A,Annuale,056001,Acquapendente,JAN,Popolazione al 1º gennaio,9,Totale,Y63,63 anni,99,Totale,2024,66,,
