Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,std_diff
ANTICOLI CORRADO,794.0,6.671,0.375,0.375,,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,,,,,794.0,4.955,0.38,0.38,73.56666666666666,5.6,5.6,,,,,,,-1.7160000000000002,59.25,0.0050000000000000044,4.366666666666666,0.0050000000000000044,4.366666666666666,31.68690727402396
CAMERATA NUOVA,382.0,31.99,0.128,31.99,31.99,36.516666666666666,0.5,36.516666666666666,36.516666666666666,,,,,,,,,382.0,41.004,0.128,41.004,124.43333333333334,1.666666666666667,124.43333333333334,,,,,,,9.014,87.91666666666667,0.0,1.166666666666667,9.014,87.91666666666667,50.08513585220004
CAPRANICA PRENESTINA,272.0,10.546628676470588,12.359952205882353,16.062952205882354,16.472830882352945,17.199142156862745,22.00839460784314,28.38511029411765,27.467218137254903,5.250911444692246,3.25017420045962,3.250174200459621,5.514383495308734,7.488682819452986,4.878021380907693,4.818377243352709,7.360046044541961,272.0,10.594922794117648,76.38687168141594,73.42287168141593,25.713909313725487,182.7999262536873,177.466592920354,5.320100656942499,0.3867874093090394,0.3867874093090394,9.17545538278518,6.375746143698733,6.3757461436986524,0.048294117647060375,8.514767156862742,64.02691947553359,160.79153164584415,57.35991947553357,149.08148262623635,84.7391485177917
CERRETO LAZIALE,1069.0,0.2629504209541628,7.669228250701589,7.669228250701589,,0.682725288431556,10.04396632366698,10.04396632366698,,1.8731258633631644,1.5351288219559935,1.5351288219559935,,3.005203820042827,1.1902964149973552,1.1902964149973552,,1069.0,0.2268419083255379,8.848572497661367,8.848572497661367,4.402510134081696,71.1872466479576,71.1872466479576,0.781352993211135,1.4340125522463187,1.4340125522463187,15.697770542341352,14.495689014324237,14.495689014324237,-0.03610851262862491,3.7197848456501403,1.1793442469597784,61.143280324290615,1.1793442469597784,61.143280324290615,33.153470572402334
CERVARA DI ROMA,347.0,12.918187319884728,13.352175792507207,15.191109510086456,14.180645533141211,21.25638808837656,22.27055715658021,23.568251681075893,23.171085494716618,5.858319518712968,5.574935956283863,3.2651757864878674,6.025020719189824,10.056620953381906,9.95281925441787,7.686977925662958,10.678378986427562,347.0,12.074588679245284,12.332588679245289,45.63052830188679,46.4522641509434,49.685597484276734,141.08622641509433,3.3893070579888955,3.3893070579888964,10.505737115182988,20.48696288248085,20.486962882480853,29.191670235036423,-0.8435986406394438,25.19587606256684,-1.0195871132619185,27.415040327696524,30.439418791800335,117.51797473401844,52.67325915770231
GORGA,561.0,1.564727272727273,1.564727272727273,13.105818181818185,17.08081818181818,2.8090909090909086,2.8090909090909086,21.1530303030303,28.324242424242428,5.043085563422457,5.043085563422457,5.00985154470669,5.009851544706689,8.072802418546418,8.072802418546418,7.766389480032246,7.683893688893817,561.0,1.664,1.664,39.350545454545454,6.468181818181818,6.468181818181818,105.8090909090909,5.429165865950312,5.429165865950312,4.804790578162592,12.256517540566822,12.256517540566822,8.00209174042776,0.09927272727272696,3.659090909090909,0.09927272727272696,3.659090909090909,26.244727272727268,84.6560606060606,46.76362225808941
JENNE,305.0,12.723,15.297,12.723,12.723,22.466666666666665,23.98333333333333,22.466666666666665,22.466666666666665,,,,,,,,,305.0,13.622,37.327,13.622,30.366666666666667,186.45,30.366666666666667,,,,,,,0.8989999999999991,7.900000000000002,22.029999999999998,162.46666666666667,0.8989999999999991,7.900000000000002,89.23910660774317
LICENZA,809.0,0.4359962917181705,0.5017379480840544,20.852923362175524,24.965971569839304,2.2062216728471364,1.7228883395138033,25.624103831891222,53.80976514215081,2.526492529179534,2.3475945135393377,3.589981128084103,1.636245091665671,3.80659150538758,3.80659150538758,5.150094389642022,1.7441967269268035,809.0,0.3877144622991347,0.2627144622991347,44.49628677379481,6.270271940667491,4.273238566131027,158.3046559538525,1.7592816715921304,1.7592816715921304,1.974949239854032,22.56849143287064,22.615631884949742,21.79067397356544,-0.048281829419035804,4.064050267820354,-0.23902348578491966,2.5503502266172235,23.643363411619283,132.68055212196126,74.69757390341177
PONZANO ROMANO,969.0,0.214,0.214,8.912,10.346,1.4166666666666667,1.4166666666666667,11.066666666666666,16.2,,,,,,,,,969.0,0.214,0.214,44.513,4.116666666666666,4.116666666666666,157.13333333333333,,,,,,,0.0,2.6999999999999993,0.0,2.6999999999999993,35.601,146.06666666666666,82.77278359281935
ROCCA CANTERANO,180.0,10.724333333333334,3.7963333333333327,12.671333333333337,14.300333333333336,18.216666666666665,7.172222222222223,19.18888888888889,21.072222222222223,1.156826694021191,1.1568266940211915,1.1568266940211924,1.156826694021191,1.272792206135786,1.249221980096234,1.2492219800962332,1.1431559629182522,180.0,71.92233333333333,4.960333333333334,15.828333333333337,211.3111111111111,18.66111111111111,53.62777777777778,1.086823122683718,1.0868231226837235,1.0868231226837242,2.557369525291352,2.5573695252913478,2.5573695252913478,61.19799999999999,193.09444444444443,1.164000000000001,11.488888888888887,3.157,34.43888888888889,98.89292662376815
SAMBUCI,811.0,0.376,8.566,8.35,8.35,1.2833333333333337,12.0,12.2,12.2,,,,,,,,,811.0,0.376,32.384,32.562,6.633333333333335,99.23333333333332,102.73333333333332,,,,,,,0.0,5.350000000000001,23.817999999999998,87.23333333333332,24.211999999999996,90.53333333333332,48.25620954094155
SAN GREGORIO DA SASSOLA,1096.0,9.66,0.231,0.231,9.1,18.966666666666665,0.4833333333333332,0.4833333333333332,16.783333333333335,,,,,,,,,1096.0,77.987,0.231,0.231,180.6,4.366666666666666,4.366666666666666,,,,,,,68.327,161.63333333333333,0.0,3.883333333333333,0.0,3.883333333333333,91.07700496466346
VALLINFREDA,292.0,20.683527397260274,5.090301369863013,15.56063698630137,21.24486301369863,30.54303652968036,7.997602739726028,25.34748858447488,28.193835616438356,0.1463711037056158,0.5062884553295681,0.5069955621107537,0.1456639969244284,0.4360491817317046,0.9781643806413904,0.9428090415820624,0.188561808316412,292.0,27.994897260273973,5.133897260273972,13.112897260273972,177.97111872146118,13.871118721461189,100.05445205479452,0.5876057351660207,0.5876057351660207,0.5876057351660207,3.099484724201028,3.099484724201034,3.099484724201058,7.311369863013699,147.42808219178082,0.043595890410959015,5.873515981735161,-2.4477397260273985,74.70696347031964,70.78618016743424
VIVARO ROMANO,165.0,22.979,7.999,16.672,23.541,33.666666666666664,12.416666666666666,25.58333333333333,31.166666666666668,,,,,,,,,165.0,31.06,8.198,16.178,184.7,20.6,106.78333333333332,,,,,,,8.081,151.03333333333333,0.19900000000000073,8.183333333333335,-0.4939999999999998,81.19999999999999,71.43091132410808
