Comune,Nucleo_ID,Densità_popolazione_km2,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_norm_km_density,SI_norm_min_density,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_norm_km_density,SP_norm_min_density,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_norm_km_density,SS_norm_min_density
POZZAGLIA SABINA,5705810001.0,638.4729329907766,14.463,,20.233333333333334,,0.022652487290653764,0.03169019748191209,14.376,,21.3,,0.022516224662271902,0.03336085039693876,13.952,,20.216666666666665,,0.021852140128548803,0.03166409353011479
POZZAGLIA SABINA,5705810002.0,692.8423080733395,17.806,,25.633333333333333,,0.025699931705260675,0.0369973557253088,17.719,,26.133333333333336,,0.025574362006375036,0.03771902066143317,17.295,,24.86666666666667,,0.02496239014054158,0.03589080282325146
POZZAGLIA SABINA,5705820001.0,1315.58846421501,10.142,,14.48333333333333,,0.007709097697243465,0.011009015149714998,10.055,,14.816666666666666,,0.007642967594733094,0.011262387189984619,9.631,,13.7,,0.0073206783595101375,0.010413590855081391
POZZAGLIA SABINA,5705810003.0,1295.3968768324255,11.745,,16.3,,0.009066719404727537,0.012583016287531619,11.658,,16.966666666666665,,0.008999558520248073,0.013097659080477695,11.234,,15.933333333333334,,0.008672245703934368,0.012299962751411276
RIETI,5705910006.0,1331.1722888448455,11.56057142857143,3.2624039912613214,18.28452380952381,4.119857396740204,0.008684504271496947,0.013735655378907126,16.2702,15.439349466721566,22.770000000000003,15.73964052799864,0.012222459959798914,0.017105223862314004,16.475714285714286,19.184676999403155,23.033333333333335,19.783691375586216,0.012376845900248911,0.01730304448669152
RIETI,5705910012.0,780.6729429484634,8.877928571428571,5.766004328612876,13.439285714285713,6.9514390293488555,0.011372148415824696,0.01721500128277523,12.6603,17.328054901741794,16.865000000000002,16.73037721047969,0.016217162531833484,0.021603156805081375,15.503285714285715,20.380887915841527,19.6,19.312663759344062,0.019858874134580033,0.02510654452295256
RIETI,5705910001.0,847.3780489810597,6.596214285714286,5.432621370070755,10.488095238095235,6.427685938200973,0.007784263816658912,0.012377114619273861,10.5225,17.032481213193154,14.07,16.116640430481535,0.012417716050885331,0.016604159167113955,12.871714285714285,20.339964304412185,15.980952380952381,19.16239186283283,0.015190049236219935,0.018859294738834544
RIETI,5705910004.0,671.2333278252466,9.723785714285714,5.54550285128647,17.798809523809528,6.592871909282783,0.014486446532370738,0.026516575959475285,13.699600000000002,17.127854300330014,21.385000000000005,16.168822784819977,0.020409594446667057,0.031859264302751544,16.045142857142856,20.47188211855936,22.849999999999998,19.404707809837934,0.023903972273140995,0.034041813856341946
RIETI,5705910002.0,2014.8436500355003,8.060071428571426,5.230719121972336,13.12380952380952,5.792390064712723,0.004000345847395857,0.006513562242697237,12.079699999999997,16.64393165390918,16.86,15.643665542478793,0.0059953535351426205,0.008367894947929552,14.35257142857143,19.810823841670857,19.190476190476186,18.526939487473012,0.007123416960079531,0.00952454856243464
RIETI,5705910014.0,1910.870237447147,20.27407142857143,6.082523647104252,27.685714285714287,7.325691989550415,0.01060986299920441,0.014488537077589,24.1113,17.37201496053031,30.846666666666664,16.905966877093505,0.012617968257337984,0.016142732280909188,28.28357142857143,19.462253080061952,34.68571428571428,18.834403677970855,0.014801408737391426,0.018151789486267333
RIETI,5705910009.0,1125.9560965800947,8.28535714285714,5.547060033610913,13.627380952380948,6.620305487641394,0.007358508176315703,0.012102941663331156,12.266399999999999,17.123624182852055,17.28666666666666,16.230581560060553,0.01089420807548106,0.015352878073285496,14.593428571428571,20.471769593411175,18.73095238095238,19.474576086698622,0.012960921492191121,0.016635597460544466
