Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
ACCUMOLI,369.0,5.524543360433604,5.524543360433604,40.115208672086716,40.115208672086716,26.030510388437218,26.030510388437218,87.32811653116529,87.32811653116529,5.813325905480729,5.813325905480729,14.944854840936618,14.944854840936618,32.58628858436787,32.58628858436787,53.07113905811639,53.07113905811639
ACQUAFONDATA,249.0,5.100947791164659,11.596684738955823,10.376038152610441,,32.669544846050876,51.515729585006675,24.3243641231593,,2.737236608333302,26.111120413532618,3.2280559164921545,,6.071255132910238,67.8104599027482,3.433495141818158,
ACQUAPENDENTE,4502.0,2.170106397156819,1.9168840515326524,2.307535428698357,1.9168840515326524,6.934760476825115,4.865970679697913,8.08610802606249,4.865970679697913,9.38258611959766,9.435660487392143,9.174474717025129,9.435660487392143,12.701616166486088,13.4947374859541,13.120664627898153,13.4947374859541
ACUTO,1766.0,1.2197180067950169,1.2197180067950169,1.2197180067950169,9.892173272933181,5.585211400528502,5.585211400528502,5.585211400528502,36.331209890524725,15.152980471401214,15.152980471401214,15.152980471401214,2.5377392169672066,29.660937336903295,29.660937336903295,29.660937336903295,14.842172771956022
AFFILE,1325.0,0.2262558490566037,0.4953943396226415,0.4953943396226415,10.910481886792452,1.4724213836477986,3.8780314465408807,3.8780314465408807,15.368584905660375,4.217791039157819,1.402802284714421,1.402802284714421,2.2040546726431267,17.863315917140234,16.655371172354243,16.655371172354243,10.257713899521882
AGOSTA,1588.0,1.8641127204030226,1.8641127204030226,1.843353589420655,8.892504093198992,7.38053631402183,7.38053631402183,7.258800377833753,18.62361460957179,1.406890409733466,1.406890409733466,1.4053593105205042,1.1983133111447384,4.521581479313856,4.521581479313856,4.489425590165141,2.1240112078591094
ALATRI,23292.0,7.10423356135631,7.368000042933197,5.2005175274772455,4.927211660656019,26.40605055940364,28.71465604149573,18.995303108363384,16.910639442250083,3.4277044277394664,3.2766008742481962,6.283667583458307,6.421321430517334,19.249610954693292,20.203421900137343,36.89014868193312,37.295339307589025
ALBANO LAZIALE,38363.0,4.910076838359878,4.866524338555379,4.824543435949568,4.721723279375093,25.146216406433282,25.607862697564492,25.691924148557497,24.620298928075954,0.6640420028115814,0.8929026558685684,1.1886940191782571,1.1670806195884875,5.995601939308383,7.038829577806015,8.505443113390076,8.327077115870297
ALLUMIERE,3642.0,0.7635556013179572,1.0464798187808897,0.955666392092257,4.575933278418451,5.926681768259198,7.142909115870401,6.3466364634816035,14.562108731466228,1.12922418057709,0.9219182447484157,1.4234416040006699,0.9975753104402686,3.777059776539889,5.043429443895846,10.087815808081437,3.699924924163253
ALVITO,979.0,1.1778774259448415,1.3343866189989784,1.0508508682328905,1.0508508682328905,7.413968335035753,8.935844399046644,6.749157303370787,6.749157303370787,1.940483170072169,1.8931373651516508,2.0607668799098393,2.0607668799098393,8.439819091443624,8.369416325505002,8.719376039517881,8.719376039517881
