NO RESULT for: 41.682138701873434,12.624008924770767 - Osp. Albano Laziale, ALBANO LAZIALE, RM
NO RESULT for: 41.682138701873434,12.624008924770767 - Osp.C. Regina Apostolorum, ALBANO LAZIALE, RM
NO RESULT for: 42.054860570815855,12.126710674639973 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 42.07433034148701,12.070706969719529 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 42.108830426872494,12.550559616611421 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 41.9712174572541,13.107353007776036 - Osp. A.Angelucci, SUBIACO, RM
NO RESULT for: 42.055688274976646,12.046171575190671 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 42.03524245944329,12.036555311208197 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 42.05719791204203,12.002768028540308 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 42.12247065980157,12.524838019833378 - Osp. Padre Pio, BRACCIANO, RM
NO RESULT for: 41.75163828896383,12.76944046472864 - C.C.A. S.Raffaele, ROCCA DI PAPA, RM
NO RESULT for: 42.165490491876355,12.292689456882265 - Osp. Padre Pio, BRACCIANO, RM
