❌ NO RESULT for: 42.381039246067374,12.644992774962184 → VIAN MARCHESA AUGUSTA, VACONE, 02040
❌ Errore Distance Matrix API per origins=['42.204606822548264,12.798208267807416'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.22425540175182,12.775545571447001'] e destinations=['VIA PORTA ROMANA 113, POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.203769972213856,12.785216839191577'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.21746475767128,12.797927958400784'] e destinations=['VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.1945472942563,12.796801136022028'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.23791642022637,12.758443831084644'] e destinations=['VIA PORTA ROMANA 113, POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.212687608495486,12.807904131102985'] e destinations=['VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.207536747401534,12.78006942176237'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.22529893426512,12.795116221870368'] e destinations=['VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA PORTA ROMANA 113, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.204606822548264,12.798208267807416'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.22425540175182,12.775545571447001'] e destinations=['VIA PORTA ROMANA 113, POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.203769972213856,12.785216839191577'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.21746475767128,12.797927958400784'] e destinations=['VIA OBERDAN 21, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.1945472942563,12.796801136022028'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
❌ Errore Distance Matrix API per origins=['42.204606822548264,12.798208267807416'] e destinations=['VIA ARCHIPIGLIONE, POGGIO NATIVO, 02030', 'VIA GIARDINO S.N.C., POGGIO NATIVO, 02030', 'VIA OBERDAN 21, POGGIO NATIVO, 02030']: INVALID_REQUEST
