origin,destination,distance_m,duration_s,origin_lat,origin_lon,index_right,LOC21_ID,dist_meters
"41.682138701873434,12.624008924770767","41.7231735,12.6060371",9200.0,748.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.7257871,12.608252",9751.0,870.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.7277776,12.6646983",7953.0,892.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.7252366,12.6556394",6714.0,720.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.7266811,12.6631464",7698.0,853.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.7225825,12.6122039",8038.0,854.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"41.682138701873434,12.624008924770767","41.722796,12.6096064",9604.0,825.0,41.682138701873434,12.624008924770767,1711,5800320011.0,0.0
"42.05529808624298,12.126267883632057","42.1021626,12.1747502",8007.0,711.0,42.05529808624298,12.126267883632057,545,5801310002.0,0.0
"42.05529808624298,12.126267883632057","42.1009293,12.1588681",7425.0,590.0,42.05529808624298,12.126267883632057,545,5801310002.0,0.0
"42.05529808624298,12.126267883632057","42.1014864,12.171189",7539.0,609.0,42.05529808624298,12.126267883632057,545,5801310002.0,0.0
"42.05529808624298,12.126267883632057","42.10022,12.15851",6692.0,480.0,42.05529808624298,12.126267883632057,545,5801310002.0,0.0
"42.05529808624298,12.126267883632057","42.0994556,12.175708",7797.0,641.0,42.05529808624298,12.126267883632057,545,5801310002.0,0.0
"42.07433034148701,12.070706969719529","42.1021626,12.1747502",11818.0,904.0,42.07433034148701,12.070706969719529,2344,5801326704.0,0.0
"42.07433034148701,12.070706969719529","42.1009293,12.1588681",10103.0,659.0,42.07433034148701,12.070706969719529,2344,5801326704.0,0.0
